time,conn_handle,peer_addr,dir,op,att_handle,uuid,value
Oct 29 21:36:38.677,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:38.827,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:38.940,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:39.052,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:39.165,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:39.243,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000AC60000033200D50F0100
Oct 29 21:36:39.278,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:39.315,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:39.317,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000A060100033200D50F0100
Oct 29 21:36:39.390,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:39.392,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000A700100033200D50F0100
Oct 29 21:36:39.428,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:39.465,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:39.467,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000AC50100033200D50F0100
Oct 29 21:36:39.540,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:39.540,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:39.544,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000AF401000332000D840100
Oct 29 21:36:39.615,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:39.617,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000AF401000332000D840100
Oct 29 21:36:39.690,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:39.690,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:39.693,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000AF401000332000D840100
Oct 29 21:36:39.765,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:39.768,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000AF401000332000D840100
Oct 29 21:36:39.803,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:39.840,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:39.842,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000AF401000332000D840100
Oct 29 21:36:39.915,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:39.915,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:40.065,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:40.177,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:40.290,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:40.402,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:40.515,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:40.665,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:40.777,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:40.890,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:41.002,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:41.115,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:41.265,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:41.377,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:41.490,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:41.602,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:41.715,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:41.781,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000AF401FB0232000D840100
Oct 29 21:36:41.827,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:41.830,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000AF40120023200D50F0100
Oct 29 21:36:41.865,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:41.902,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:41.904,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000AF401D2003200D50F0100
Oct 29 21:36:41.978,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:42.015,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:42.017,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000AF401000032000D840100
Oct 29 21:36:42.090,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:42.090,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:42.092,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000AF401000032000D840100
Oct 29 21:36:42.165,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:42.167,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000AF401000032000D840100
Oct 29 21:36:42.240,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:42.240,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:42.242,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000AF401000032000D840100
Oct 29 21:36:42.315,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:42.317,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000AF401000032000D840100
