time,conn_handle,peer_addr,dir,op,att_handle,uuid,value
Oct 28 09:43:37.589,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,071E
Oct 28 09:43:37.663,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0030,FFF4,2D0000000A00000000007800E17AB43F
Oct 28 09:43:37.663,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 28 09:43:37.664,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1B1E
Oct 28 09:43:37.664,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:37.738,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0030,FFF4,38003D004200470001210102000F0000
Oct 28 09:43:37.739,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 28 09:43:37.739,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,2F1E
Oct 28 09:43:37.776,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:37.813,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0030,FFF4,14000000140000000200000000000000
Oct 28 09:43:37.814,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 28 09:43:37.814,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,431E
Oct 28 09:43:37.888,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0030,FFF4,520057005C00610004220102000F0000
Oct 28 09:43:37.888,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 28 09:43:37.889,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,571E
Oct 28 09:43:37.889,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:37.963,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0030,FFF4,32000000320000000200000000000000
Oct 28 09:43:37.964,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 28 09:43:37.964,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,6B1E
Oct 28 09:43:38.038,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:38.038,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0030,FFF4,FC0200000000000005130302000F0000
Oct 28 09:43:38.039,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 28 09:43:38.040,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,7F1E
Oct 28 09:43:38.113,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0030,FFF4,000000000000000000002D00E17AB43F
Oct 28 09:43:38.113,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 28 09:43:38.150,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:38.263,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:38.376,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:38.526,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:38.638,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:38.750,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:38.863,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:38.976,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:39.088,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:39.238,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:39.351,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:39.463,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:39.575,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:39.688,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:39.838,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:39.951,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:40.063,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:40.176,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:40.288,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:40.438,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:40.551,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:40.663,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:40.775,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:40.888,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:41.038,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:41.188,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:41.263,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:41.375,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
