time,conn_handle,peer_addr,dir,op,att_handle,uuid,value
Oct 29 22:07:41.858,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:41.859,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,04180000000000000000000000000000
Oct 29 22:07:41.896,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:41.933,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:41.934,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,08180080000000008889000000FF0080
Oct 29 22:07:42.008,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:42.008,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:42.009,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,0C18000000040000000900000DA70002
Oct 29 22:07:42.083,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:42.084,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1018000000010000045D000000FF0000
Oct 29 22:07:42.121,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:42.158,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:42.159,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,141800000000008000000005464B0040
Oct 29 22:07:42.233,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:42.234,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,18180200000000000000000000000080
Oct 29 22:07:42.271,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:42.308,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:42.309,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C18000359FC000015A600002B4D0000
Oct 29 22:07:42.383,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:42.383,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:42.384,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,201800F6864DFF8923170000015A0047
Oct 29 22:07:42.458,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
